TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KELAHIRAN;JUMLAH KEMATIAN
2018;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;10217;3.7728;7837;1225;1104;1079;1021;1144;11;1381;134;1574;1409;131;1227;1182;1007;949;866;701;627;444;390;605;567;75;7;361;116
2018;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;11780;0.7779;46406;1451;136;136;1199;1358;1439;1666;1579;1842;1656;1549;1407;1394;1305;1193;1042;934;855;688;680;844;1039;140;11;438;175
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;10772;1.6745;20546;1403;1351;1291;1288;1334;1423;1444;1439;1619;1653;1495;1473;132;1305;1006;968;723;753;591;572;619;634;53;5;524;161
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;4152;0.6737;17174;461;439;471;410;413;428;435;404;483;477;398;452;442;441;446;438;386;342;281;306;420;512;74;6;104;82
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;9852;3.1652;9818;1181;1231;1283;1176;1286;1358;1282;1353;1412;145;1308;1256;1113;1116;981;886;701;840;527;484;579;473;65;5;459;179
2018;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;8756;3.2967;7944;1067;973;1011;901;1013;1038;1062;1064;1196;1223;1121;1125;1056;1004;902;900;661;669;504;424;499;546;66;5;333;89
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;8596;1.8885;15269;1232;1122;1074;1007;1263;1225;1261;1319;1193;1453;1578;1262;1083;951;667;792;654;529;377;354;405;410;80;10;439;96
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;18072;2.55025;22594;2243;2241;2087;2122;2111;2266;2362;2538;2733;2862;2474;251;221;2154;1675;1621;1197;1273;903;971;1214;1190;86;6;871;229
2018;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;9590;1.5816;17071;1136;1028;1031;994;1006;916;993;1047;1082;1158;1074;1103;109;1107;1009;1006;792;780;526;492;678;1003;124;9;275;154
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;15387;1.261;35182;1721;1605;1711;1635;1664;1695;1784;1817;1966;2043;1918;1907;1744;1719;1545;1509;118;1207;813;943;995;1333;190;16;573;307
2018;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;19823;4.555;13788;2804;2612;22;2281;2271;2458;2452;2739;289;3015;2739;2752;2514;2436;2039;1774;1416;1429;1007;106;1408;1556;144;15;699;280
2018;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;13886;1.0701;38893;1712;1534;1643;1557;1508;1567;1591;1608;1822;1799;1677;1708;164;1598;142;1393;1105;1106;789;861;1022;1301;152;12;543;256
2018;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;7914;0.6264;36745;912;878;822;853;923;857;106;912;1;978;894;869;881;812;746;752;589;591;448;493;657;807;132;10;290;124
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;23285;6.1243;11733;2948;2738;277;2613;2729;28;3317;3266;3946;417;3327;3397;275;2552;1856;1606;1165;1125;810;784;804;737;106;10;1081;257
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;22552;9.81038;7339;2819;2752;271;2744;2874;2941;3389;3365;3685;3843;31;2993;257;2464;194;1834;1365;1464;1121;1048;1131;939;145;14;1050;271
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;13550;1.7904;22386;1522;1518;1412;1402;1583;1568;1794;1742;1929;1924;1765;1682;1595;1503;1276;1191;987;1062;680;705;863;1001;121;12;566;199
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;7158;3.626;6198;933;890;918;892;965;923;879;997;1061;1097;997;963;870;803;683;633;443;480;364;362;416;404;39;5;320;103
2018;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;13691;0.9933;42072;1773;167;1543;1526;1478;1541;1588;1662;1874;1819;1711;1804;1792;1614;1334;1291;950;910;667;722;1001;1277;138;10;498;225
2018;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;14576;1.2187;36476;1876;1833;1689;1568;156;1616;1696;1683;1866;1922;1803;1881;1852;1792;1538;1426;1031;1108;782;798;1129;1430;152;13;503;103
2018;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;9779;2.226;13318;1199;1192;1071;1043;955;994;1137;1103;1236;1273;1223;1301;1229;1287;1134;1014;739;746;489;594;990;1233;106;8;298;85
2018;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;24993;3.6059;21962;3247;3057;2909;2795;3039;3066;3554;3435;3886;3954;3471;3533;3043;289;2292;2242;1617;1759;1266;1272;1602;1941;182;16;978;356
2018;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;31745;4.515;21645;371;3569;3569;3512;382;4147;4524;4539;5119;5199;4439;408;3636;3473;2691;2611;1947;1981;1335;1377;1478;1621;244;18;1274;421
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;24384;4.5029;17413;3251;3139;2949;2974;3038;319;312;3324;3571;3789;3322;3292;2952;2865;2342;2381;1794;1888;1323;1456;1711;1649;155;14;1022;338
2018;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;6619;1.2638;15256;706;665;653;677;660;647;769;743;779;841;725;736;751;760;710;683;578;569;472;517;707;1026;114;10;192;74
2018;PROVINSI DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIGANJUR;14032;3.376;13392;1886;1821;1598;1694;1675;1772;1809;2013;2242;2292;2073;2004;1765;1649;1378;1237;974;958;658;641;760;767;63;6;606;184
2018;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;CIJANTUNG;15275;2.3837;20799;194;1938;1925;1857;1978;2055;2096;221;2362;2325;2031;2043;1799;186;1549;1517;1173;1146;839;892;1033;913;110;11;693;167
