TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KELAHIRAN;JUMLAH KEMATIAN
2014;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;9235;5.77;4837;1109;990;1066;1021;1295;1189;1526;1424;1470;1257;1258;1014;1067;871;794;710;546;433;353;307;425;385;66;7;395;119
2014;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;11417;0.8;44680;1350;1259;1395;1344;1627;1546;1899;1739;1735;1473;1514;1409;1358;1156;1106;980;811;770;531;555;644;797;139;11;478;160
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;9116;1.67;18088;1131;1102;1141;1154;1318;1219;1489;1483;1431;1378;1287;1246;1070;1001;809;811;635;610;466;404;458;452;53;5;496;169
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;3771;0.67;16804;444;414;426;406;420;416;491;440;416;464;434;427;462;465;427;391;345;325;245;233;332;392;74;6;134;105
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;8013;3.17;8440;1096;1038;1069;1084;1126;1131;1266;1283;1234;1171;1069;1066;992;906;770;830;568;551;411;250;374;345;65;5;460;132
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;7892;3.3;7372;999;862;957;915;920;991;1176;1132;1112;1088;1045;1029;971;932;785;735;567;495;311;265;373;411;66;5;359;124
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;7709;1.89;14165;943;910;1121;910;1083;1157;1235;1449;1599;1399;1214;1056;812;887;729;606;495;420;251;235;294;292;80;10;439;104
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;15746;2.55;20264;1930;1886;1901;1859;2029;2131;2537;2598;2531;2481;2211;2113;1840;1689;1397;1409;983;996;830;715;852;846;86;6;854;243
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;8998;1.58;16189;994;914;938;870;909;943;1038;1094;1126;1064;1150;1167;1113;1073;959;897;627;602;410;399;603;888;124;9;296;144
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;14291;1.26;34863;1651;1552;1657;1630;1743;1726;2114;2069;2001;2032;1899;1789;1781;1542;1364;1393;972;1038;646;713;819;1072;190;16;596;394
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;17237;4.56;12234;2126;2079;1953;1993;2015;2207;2594;2728;2699;2589;2549;2384;2243;1896;1537;1492;1195;1178;855;812;1079;1139;142;15;836;271
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;13353;1.08;38759;1703;1588;1565;1526;1613;1605;1873;1800;1842;1753;1728;1707;1637;1511;1319;1300;998;1005;689;699;833;1075;152;12;610;315
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;7550;0.64;35081;789;797;866;855;1030;893;1092;1037;1008;922;938;862;852;814;708;688;524;565;411;402;503;655;132;10;291;101
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;20625;6.19;10257;2413;2170;2450;2332;2826;2721;3668;3855;3479;3458;2882;2588;2099;1774;1324;1190;955;880;638;443;540;486;104;10;1135;262
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;19038;9.81;6411;2441;2402;2545;2429;2804;2838;3550;3516;3016;3000;2575;2411;2149;1887;1436;1501;1294;1148;885;606;668;540;145;14;1065;235
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;12792;1.79;21936;1380;1413;1468;1380;1701;1617;1991;1954;1913;1813;1762;1581;1449;1364;1153;1139;857;841;605;556;706;833;121;12;591;208
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;5813;3.63;5323;764;742;795;713;787;823;925;979;971;932;849;737;696;666;496;487;391;388;297;242;267;246;39;5;311;120
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;12559;0.99;39585;1484;1467;1363;1332;1434;1455;1785;1795;1843;1874;1820;1691;1560;1461;1133;1050;805;785;554;612;838;1037;138;10;518;148
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;13126;1.22;33492;1546;1487;1426;1367;1537;1565;1832;1814;1818;1886;1853;1801;1662;1544;1223;1192;887;903;611;610;849;1063;152;13;601;271
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;9322;2.22;12889;1045;1021;923;882;1086;1046;1273;1240;1277;1371;1363;1345;1264;1078;901;912;590;671;511;503;794;988;106;8;334;143
2014;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;21696;4.26;16696;2694;2458;2684;2529;3000;2988;3672;3653;3437;3522;3068;2914;2553;2289;1767;1817;1383;1342;953;924;1090;1303;180;16;1117;334
2014;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;27213;4.18;20891;3177;3138;3446;3382;3936;3990;4784;4713;4432;4132;3760;3427;3022;2776;2158;2052;1577;1495;978;993;1073;1125;225;17;1712;384
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;21360;4.5;15915;2795;2609;2790;2705;2888;2985;3417;3569;3283;3324;3011;2822;2574;2457;1975;2046;1566;1587;1117;1021;1270;1159;153;14;1164;395
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;6414;1.26;14992;632;639;693;629;741;690;847;868;772;753;770;792;781;708;691;639;581;562;371;432;567;813;114;10;221;112
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIGANJUR;11331;3.61;10475;1425;1449;1387;1370;1400;1484;1928;1960;1850;1835;1720;1579;1412;1233;1042;953;719;691;522;422;535;491;63;6;662;177
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;CIJANTUNG;13501;2.37;18776;1668;1611;1773;1716;1901;1919;2254;2271;2058;2021;1830;1830;1593;1538;1255;1238;961;986;742;578;682;584;109;11;736;226
2014;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;3323;0.82;12100;375;327;383;368;399;371;461;423;437;436;372;413;395;391;351;356;269;258;172;199;224;292;66;5;118;67
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PANCORAN;CIKOKO;3954;0.72;17175;436;438;396;404;477;501;631;636;672;602;530;519;465;435;355;364;259;277;192;190;242;241;42;5;189;62
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;18691;6.05;9686;2167;2098;1998;2075;2197;2239;2679;2726;2671;2707;2683;2598;2374;2261;1841;1718;1289;1326;906;863;1278;1447;148;13;802;265
2014;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;8838;3.53;7820;968;937;1068;958;1295;1140;1501;1384;1390;1363;1230;1140;1042;887;728;711;569;494;287;340;449;401;72;7;453;136
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CILANGKAP;8141;6.03;4519;1140;1104;1151;1139;1087;1117;1240;1263;1261;1318;1215;1132;1029;969;749;630;455;437;290;261;309;310;45;6;447;138
2014;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CILILITAN;14798;1.8;26202;1805;1649;1711;1744;1936;1935;2367;2326;2274;2132;2017;1923;1741;1649;1295;1302;988;1040;682;733;888;991;130;16;702;365
