TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KELAHIRAN;JUMLAH KEMATIAN
2017;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;9733;3.7728;7652;1170;1005;1123;1018;1154;1104;1449;1422;1585;1422;1346;1180;1185;1001;885;830;696;620;394;347;562;521;74;7;418;108
2017;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;11612;0.7779;44560;1199;1100;1393;1253;1390;1435;1782;1613;1834;1619;1524;1421;1454;1315;1198;1034;940;860;631;599;778;989;140;11;356;189
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;9925;1.6745;19160;1272;1190;1273;1230;1264;1282;1427;1444;1573;1549;1448;1438;1307;1236;960;971;706;711;519;502;579;594;53;5;437;141
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;3996;0.6737;16758;413;388;466;397;416;431;428;418;468;488;424;457;454;442;456;445;383;326;264;298;418;472;74;6;123;75
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;9086;3.1652;9147;1095;1072;1203;1147;1178;1213;1247;1366;1398;1406;1280;1191;1084;1091;925;902;685;812;466;365;543;460;65;5;358;154
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;8352;3.2967;7658;1021;926;1019;890;975;1015;1045;1079;1202;1183;1131;1104;1044;1023;941;881;628;619;439;378;463;495;66;5;304;73
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;8146;1.8885;14377;1044;941;1042;928;1138;1118;1228;1314;1228;1536;1565;1223;1065;935;696;767;633;506;310;299;376;377;80;10;424;105
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;16795;2.55025;21095;2052;2061;2031;1983;2047;2123;2341;2484;2719;2793;2364;2395;2108;2012;1588;1565;1190;1264;822;829;1114;1073;86;6;713;246
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;9676;1.5816;17003;1108;981;983;972;973;859;1031;1078;1102;1188;1146;1140;1162;1187;1081;1053;858;764;485;485;743;1038;124;9;276;139
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;14752;1.261;34445;1686;1605;1654;1644;1647;1640;1863;1856;1992;2087;1968;1922;1744;1723;1548;1495;1184;1220;728;829;955;1291;190;16;516;258
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;18575;4.555;12984;2436;2368;2193;2194;2190;2254;2411;2696;2778;2929;2722;2631;2540;2367;1872;1739;1360;1309;945;979;1309;1464;144;15;654;238
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;13547;1.0701;38780;1751;1563;1672;1577;1527;1571;1676;1691;1846;1809;1729;1704;1643;1644;1416;1390;1144;1193;752;739;989;1258;152;12;463;266
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;8048;0.6264;37011;888;840;838;822;921;892;1118;961;1108;1012;919;894;935;865;789;763;632;641;443;481;701;854;132;10;289;108
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;21980;6.1243;10944;2676;2457;2624;2439;2638;2672;3322;3435;3914;4150;3227;3234;2614;2375;1723;1469;1086;1052;747;677;715;660;104;10;956;237
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;20858;9.81038;6773;2554;2548;2635;2531;2716;2746;3404;3425;3537;3716;2923;2845;2502;2368;1812;1705;1338;1434;1004;843;1003;801;145;14;1063;232
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;12977;1.7904;21712;1301;1290;1408;1396;1494;1500;1816;1787;2000;1932;1755;1696;1589;1483;1284;1189;965;1043;625;638;808;941;121;12;447;215
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;6622;3.626;5848;870;794;892;822;865;848;915;1018;1079;1062;921;939;864;779;635;590;438;455;343;347;387;367;39;5;279;81
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;13459;0.9933;41319;1728;1627;1441;1451;1459;1457;1652;1691;1917;1858;1831;1841;1832;1644;1319;1277;976;982;658;612;1051;1348;138;10;517;221
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;14169;1.2187;35468;1758;1697;1624;1515;1470;1533;1744;1730;1917;2017;1869;1908;1912;1772;1474;1393;1075;1106;709;719;1118;1383;152;13;488;68
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;9738;2.226;13230;1169;1112;1030;1024;967;945;1164;1168;1279;1327;1319;1331;1327;1291;1161;1034;702;764;519;571;1015;1239;106;8;295;92
2017;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;23564;3.6059;20686;2795;2601;2909;2721;3023;2926;3746;3518;3869;3919;3432;3444;3067;2867;2169;2102;1646;1770;1119;1139;1448;1799;182;16;992;397
2017;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;29591;4.515;20065;3334;3104;3522;3468;3798;3951;4548;4592;4957;4986;4166;3883;3575;3236;2535;2512;1985;1933;1086;1140;1351;1459;230;17;1169;412
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;22866;4.5029;16525;2782;2693;2934;2837;2870;2969;3113;3360;3527;3714;3240;3145;2877;2805;2244;2313;1779;1873;1277;1253;1527;1494;153;14;938;313
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;6850;1.2638;15620;686;669;703;659;692;672;815;825;836;888;789;771;826;780;755;690;618;628;471;495;740;1028;114;10;162;53
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIGANJUR;12739;3.376;12246;1576;1581;1583;1584;1500;1594;1779;1932;2143;2162;1959;1895;1681;1555;1292;1154;927;922;559;531;707;688;63;6;601;167
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;CIJANTUNG;14427;2.3837;19518;1676;1650;1814;1738;1883;1863;2081;2244;2235;2237;2022;2013;1775;1768;1461;1484;1135;1138;807;775;903;800;110;11;638;183
2017;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;3521;0.8209;12534;388;387;390;353;382;382;445;397;449;449;427;424;399;415;359;370;312;327;223;219;291;391;66;5;97;57
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PANCORAN;CIKOKO;4211;0.7169;17652;429;442;442;447;435;435;547;578;670;677;631;552;524;545;412;395;294;332;185;197;308;311;42;5;148;67
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;19312;6.046;9755;2395;2314;2158;2159;2049;2120;2286;2481;2773;2931;2693;2672;2625;2570;2067;2007;1533;1521;957;1007;1496;1691;148;13;581;134
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;9588;3.5266;8182;1035;982;1249;983;1199;1118;1481;1365;1507;1478;1325;1343;1179;1081;891;797;644;630;339;358;510;529;72;7;372;138
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CILANGKAP;9012;6.0354;4926;1256;1150;1256;1258;1201;1222;1258;1392;1406;1409;1305;1325;1238;1189;921;820;610;577;356;325;380;403;46;6;467;88
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CILILITAN;15408;1.76353;26548;1777;1578;1824;1771;1765;1894;2096;2122;2287;2267;2155;2043;1822;1754;1470;1510;1138;1188;740;792;1021;1200;130;16;630;239
2017;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;CILINCING;16328;6.3125;8356;2038;1989;2152;2051;2290;2214;2576;2540;2771;2732;2189;2120;1814;1635;1306;1306;1076;1150;715;614;805;821;133;10;959;274
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CIPAYUNG;8563;3.085;9501;1174;995;1174;1127;1189;1217;1419;1359;1474;1417;1316;1242;1123;1163;906;864;692;703;479;423;539;538;59;8;389;116
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIPEDAK;12282;3.9705;10297;1744;1633;1631;1630;1467;1588;1689;1853;1919;2076;1870;1908;1637;1513;1272;1110;934;933;586;533;624;631;64;6;592;168
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CIPETE SELATAN;10111;2.3223;13420;1214;1138;1218;1173;1184;1144;1330;1328;1416;1479;1377;1379;1264;1310;1144;1145;851;761;488;495;685;829;75;7;359;132
2017;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;CIPETE UTARA;12913;1.825;21639;1563;1544;1510;1473;1417;1437;1691;1790;1990;1974;1843;1756;1698;1568;1334;1198;943;939;572;530;803;895;105;11;409;181
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;CIPINANG;15493;1.53;30231;1801;1602;1817;1661;1659;1674;1956;2014;2129;2137;2051;2090;2014;2008;1616;1558;1186;1200;673;751;1052;1393;183;18;545;273
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR SELATAN;12774;1.6259;24889;1606;1466;1592;1556;1620;1600;1856;1897;1977;1944;1857;1653;1573;1539;1217;1185;985;908;571;624;817;918;130;10;570;185
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;18332;1.152;49508;2379;2162;2345;2166;2353;2250;2652;2483;2891;2685;2566;2280;2167;2074;1652;1652;1349;1400;868;839;1118;1259;192;14;615;313
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;12494;1.29;29497;1448;1343;1448;1367;1377;1328;1500;1512;1602;1673;1520;1683;1667;1661;1405;1471;1076;1117;768;794;1096;1488;154;11;445;234
2017;PROVINSI DKI JAKARTA;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;15670;2.5279;19525;1901;1819;1874;1733;1738;1918;2126;2256;2434;2454;2125;2065;1966;1908;1537;1586;1180;1369;951;913;1200;1181;135;13;615;217
