TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KELAHIRAN;JUMLAH KEMATIAN
2015;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;10579;3.7728;8124;1276;1087;1113;1142;1340;1242;1695;1586;1669;1388;1348;1135;1218;906;970;804;643;536;370;323;491;493;68;7;384;123
2015;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;11737;0.7779;46266;1420;1327;1274;1328;1493;1493;1842;1692;1797;1511;1498;1396;1373;1156;1224;1009;818;789;562;547;742;788;141;11;427;145
2015;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;9763;1.6745;18875;1172;1176;1152;1138;1275;1247;1506;1477;1522;1424;1334;1358;1113;846;1067;906;672;636;476;436;467;521;53;5;481;165
2015;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;3980;0.6737;16614;441;386;382;393;393;396;465;426;410;452;423;434;462;438;439;415;345;326;243;250;361;434;74;6;144;88
2015;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;8688;3.1652;8818;1128;1053;1059;1055;1132;1152;1216;1314;1331;1273;1119;1096;1018;808;949;920;628;634;436;284;407;405;65;5;460;133
2015;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;8251;3.2967;7571;1029;913;859;914;920;1010;1151;1155;1142;1113;1088;1042;1013;840;953;772;566;558;333;296;383;479;66;5;350;93
2015;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;8062;1.8885;14488;968;932;918;1072;1051;1110;1260;1400;1446;1463;1333;1066;881;695;917;669;538;447;272;238;336;296;80;10;485;112
2015;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;16465;2.55025;20698;1938;1929;1816;1844;1950;2067;2461;2577;2562;2560;2252;2220;1875;1469;1766;1469;1014;1052;866;736;900;883;86;6;840;261
2015;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;8942;1.5816;16122;1013;940;885;923;862;845;1038;1106;1044;1065;1130;1105;1078;1004;1112;939;662;624;385;411;649;812;124;9;279;163
2015;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;15086;1.261;35305;1733;1635;1594;1596;1671;1674;2075;1995;1968;2043;1924;1864;1724;1488;1638;1468;1021;1103;662;724;981;1043;190;16;615;328
