TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KEMATIAN;JUMLAH KELAHIRAN
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;MANGGA BESAR;2987;0.51;17882;332;315;647;316;331;647;306;369;675;386;404;790;409;434;843;386;373;759;335;335;1280;1256;53;6;69;88
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;MANGGA DUA SELATAN;11503;1.29;26203;1205;1208;1177;1304;1350;1600;1605;1846;1683;1662;1481;1459;1257;1284;1120;1033;969;799;729;528;1066;655;128;12;80;457
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;MANGGARAI;10829;0.95;36246;1337;1292;1337;1212;1338;1345;1538;1584;1545;1479;1483;1402;1346;1267;999;1039;823;828;538;508;660;816;155;12;196;467
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;MANGGARAI SELATAN;8566;0.51;52659;1044;916;938;907;1014;1020;1271;1262;1239;1289;1238;1198;1080;1007;790;757;607;634;361;414;557;695;128;10;168;380
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;MAPHAR;6940;0.59;34693;803;738;1541;741;700;1441;773;782;1555;919;891;1810;979;973;1952;875;873;1748;861;738;2969;2890;98;9;108;251
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;MARUNDA;7004;7.92;3105;1222;1142;2364;1104;1031;2135;1127;1060;2187;1207;1121;2328;1312;1288;2600;1024;977;2001;926;891;3099;2649;104;10;147;515
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;MELAWAI;994;1.26;2528;113;122;125;105;122;142;143;126;116;127;120;133;148;139;134;119;100;106;74;64;112;155;30;4;23;26
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;MENTENG;8939;2.44;11968;1207;1210;1091;1087;1114;1265;1162;1320;1349;1194;1215;1153;1164;1048;1103;973;1011;786;749;448;941;583;138;10;202;398
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;MENTENG ATAS;10085;0.9;35511;1106;1161;1024;1104;1153;1230;1603;1638;1504;1523;1505;1442;1206;1160;967;948;664;728;440;470;610;771;146;12;196;380
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;MENTENG DALAM;13051;2.58;16355;1614;1448;1454;1457;1700;1664;2091;2174;2029;1913;1958;1841;1623;1572;1216;1205;884;853;614;629;761;894;139;13;229;600
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;MERUYA SELATAN;9256;2.85;11142;1331;1305;2636;1235;1108;2343;1220;1251;2471;1427;1501;2928;1605;1701;3306;1535;1484;3019;1380;1270;4406;3918;84;11;208;494
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;MERUYA UTARA;14273;4.76;9608;1728;1684;3412;1623;1538;3161;1775;1770;3545;2226;2193;4419;2633;2619;5252;2156;2142;4298;2010;1730;6166;5484;126;11;111;726
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;MUNJUL;7029;1.9;12734;997;919;956;965;1006;1024;1230;1257;1167;1112;1026;977;839;800;668;622;482;482;302;291;343;282;75;8;122;363
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;629;3.59;628;298;322;315;261;301;302;298;255;255;238;232;234;212;193;150;161;139;101;73;56;60;86;15;3;0;47
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;1779;3.76;1705;92;82;98;84;97;92;114;108;84;88;99;88;72;63;34;29;30;39;29;24;30;34;31;5;0;93
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;1732;0.91;6779;304;279;322;286;272;274;298;293;231;235;233;210;171;158;137;126;98;106;72;65;82;80;29;5;0;109
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. PARI;775;1.39;1968;123;120;145;124;136;134;127;141;113;112;108;80;66;62;61;63;37;36;32;26;46;32;14;4;1;37
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. TIDUNG;1337;1.57;3084;88;95;107;106;126;92;115;111;98;75;73;94;67;69;60;40;37;32;22;13;39;50;29;4;0;65
2013;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;589;0.59;3625;211;227;238;231;221;203;212;241;199;185;178;176;162;139;100;119;97;83;58;56;82;94;9;3;0;41
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;PADEMANGAN BARAT;28257;3.53;24947;3689;3453;7142;3307;3216;6523;3671;3507;7178;4264;4133;8397;5086;4635;9721;4374;3828;8202;3702;3195;11802;10499;213;16;228;1363
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;PADEMANGAN TIMUR;13163;2.61;16245;1673;1565;3238;1399;1430;2829;1515;1490;3005;1935;1948;3883;2238;2238;4476;2045;2014;4059;1806;1687;6099;5710;153;11;160;519
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;PAL MERIAM;7914;0.65;36818;888;823;903;901;1044;1037;1204;1149;1101;1061;1061;1001;934;879;790;722;577;563;351;398;463;613;128;10;55;333
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;PALMERAH;21025;2.11;33544;3073;2872;5945;2678;2524;5202;2770;2538;5308;3083;3081;6164;3752;3624;7376;3447;3319;6766;3187;2912;10327;9388;176;17;265;1041
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PANCORAN;PANCORAN;6399;1.24;17127;801;720;745;736;943;933;1093;1077;1026;1049;959;856;730;672;519;546;450;470;307;287;375;344;60;5;106;378
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;PAPANGGO;13986;2.8;16353;2056;1922;3978;1840;1754;3594;1870;1797;3667;2290;2036;4326;2502;2417;4919;2270;2230;4500;1944;1704;6120;5446;127;13;189;778
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;PASAR BARU;4998;1.89;8041;496;517;497;484;472;655;642;716;714;611;595;606;607;580;588;522;495;435;486;401;853;548;76;8;108;146
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;PASAR MANGGIS;9954;0.78;40395;1234;1157;1231;1101;1383;1385;1514;1506;1445;1437;1354;1246;1168;1088;921;893;682;725;479;444;479;622;142;12;217;430
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PASAR MINGGU;8467;2.79;9965;1045;965;1262;945;1072;1060;1284;1279;1296;1288;1198;1269;1087;1026;791;783;542;548;375;467;763;822;110;10;157;383
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;PASEBAN;8823;0.71;38400;1089;1049;1000;1071;1069;1235;1160;1318;1266;1232;1089;1146;1088;1087;1074;831;914;697;666;436;861;466;115;8;288;353
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;KALI DERES;PEGADUNGAN;22173;8.89;8364;3645;3417;7062;3213;3041;6254;2971;3019;5990;3120;3271;6391;3847;3916;7763;3372;3369;6741;3229;3207;11043;9740;183;19;211;1001
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;PEGANGSAAN;8209;0.98;27151;1159;1055;1021;1002;983;1096;989;1160;1172;1096;1099;1139;1095;1051;1043;843;858;681;657;457;875;470;104;8;173;407
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;PEGANGSAAN DUA;16372;6.28;8216;1859;1820;3679;1892;1897;3789;2061;2109;4170;2259;2338;4597;2608;2622;5230;2281;2347;4628;2052;1973;7598;7385;248;25;168;624
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PEJAGALAN;28201;3.23;27856;3439;3397;6836;3210;3004;6214;3574;3563;7137;4468;4453;8921;5122;4877;9999;4333;4018;8351;3647;3306;12317;11356;227;18;258;1185
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PEJATEN BARAT;12388;2.9;14338;1562;1528;1588;1478;1740;1771;2077;2147;1963;1894;1825;1711;1575;1479;1150;1141;829;888;562;548;811;825;101;8;190;611
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PEJATEN TIMUR;18935;2.88;22624;2484;2400;2477;2412;2813;2769;3361;3372;3168;2919;2848;2685;2317;2103;1687;1686;1213;1250;883;783;983;1087;146;11;275;1021
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;PEKAYON;13697;3.14;14600;1705;1673;1892;1853;2031;2161;2665;2491;2139;2060;1854;1753;1538;1465;1213;1204;1017;916;574;476;528;514;116;10;178;707
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;PEKOJAN;8631;0.78;35333;1162;1062;2224;1059;988;2047;1106;955;2061;1197;1167;2364;1258;1315;2573;1221;1140;2361;1118;1088;4075;3849;144;12;160;362
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;15300;1.62;30940;1915;1911;1834;1746;2022;2020;2555;2485;2458;2321;2366;2152;1935;1795;1440;1422;1089;1042;694;676;896;937;157;14;234;702
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PANCORAN;PENGADEGAN;7126;0.95;24076;824;820;807;811;910;948;1227;1149;1140;1041;1046;1020;880;842;661;659;478;484;368;319;439;482;84;8;97;306
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;PENGGILINGAN;29853;4.48;22483;4047;3906;4083;4067;4806;4750;5568;5539;4651;4385;4106;3805;3289;2953;2397;2565;2063;1920;1365;991;1137;914;228;18;419;1352
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PENJARINGAN;37553;3.95;28071;5176;4823;9999;4158;4083;8241;4729;4496;9225;5535;5124;10659;6563;5925;12488;5758;4842;10600;4938;4051;15002;13432;240;17;91;1716
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;PESANGGRAHAN;8562;2.1;13859;1084;958;1093;1005;1211;1182;1520;1533;1499;1484;1270;1232;1032;941;684;672;540;611;413;467;597;544;85;8;143;448
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;PETAMBURAN;11898;0.9;43262;1657;1592;1453;1613;1525;1771;1749;2073;1851;1780;1660;1626;1446;1404;1289;1148;1012;811;736;420;950;533;122;11;158;667
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;PETOGOGAN;4334;0.86;15895;510;466;425;456;617;547;740;604;621;562;655;560;561;494;448;411;342;324;233;225;285;405;76;6;71;183
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO SELATAN;5408;1.14;14465;609;628;552;783;583;778;624;769;752;675;691;691;659;631;611;514;539;466;428;279;693;397;84;8;64;192
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO UTARA;6542;1.12;18987;822;823;731;812;753;904;885;1018;954;920;914;943;871;823;736;679;680;510;544;421;854;526;101;8;92;244
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;PETUKANGAN SELATAN;11316;2.11;18260;1457;1482;1497;1532;1673;1675;2094;2095;1836;1727;1584;1526;1297;1244;1055;1048;844;858;555;516;608;653;86;8;169;570
