TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KELAHIRAN;JUMLAH KEMATIAN
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;9691;3.7728;7552;933;818;1148;1064;1215;1132;1545;1485;1554;1364;1313;1143;1139;971;849;803;660;572;392;350;517;493;72;7;364;99
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;11758;0.7779;44569;1065;1012;1376;1312;1495;1492;1863;1717;1841;1572;1554;1445;1394;1264;1198;1025;872;840;617;583;751;938;140;11;473;210
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;9989;1.6745;19103;1205;1149;1310;1247;1309;1319;1492;1531;1583;1509;1432;1431;1244;1201;899;925;713;692;512;499;536;527;53;5;466;163
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;4005;0.6737;16631;369;356;442;406;404;428;480;434;446;499;436;451;457;451;454;431;375;332;257;272;384;462;74;6;131;94
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;9099;3.1652;9098;1054;976;1203;1188;1222;1284;1286;1375;1431;1383;1225;1195;1065;1034;901;898;656;736;482;350;475;422;65;5;439;144
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;8378;3.2967;7635;937;831;1037;929;975;1057;1163;1159;1201;1182;1110;1074;1048;1006;890;835;626;608;367;326;457;478;66;5;321;96
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;8187;1.8885;14324;874;818;1132;981;1154;1183;1318;1395;1324;1504;1484;1157;988;920;689;731;594;489;298;271;342;341;80;10;464;116
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;16825;2.55025;20992;1898;1942;2043;2019;2039;2185;2494;2702;2718;2687;2351;2378;2030;1925;1554;1520;1091;1171;880;827;1017;990;86;6;812;259
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;9491;1.5816;17108;1133;1006;992;982;949;904;1124;1183;1084;1136;1166;1136;1130;1174;1060;1010;764;675;442;458;650;943;124;9;298;154
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;14888;1.261;34754;1687;1563;1650;1683;1695;1697;2047;2002;2020;2063;1922;1920;1774;1716;1531;1470;1124;1185;712;772;903;1231;190;16;523;326
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;18620;4.555;12912;2183;2167;2197;2218;2214;2344;2614;2841;2795;2916;2770;2677;2455;2222;1819;1687;1268;1257;939;917;1246;1394;142;15;787;244
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;13625;1.0701;39195;1730;1528;1656;1615;1577;1604;1775;1780;1847;1831;1753;1746;1678;1589;1426;1406;1065;1101;733;732;965;1221;152;12;522;256
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;7912;0.6264;37292;871;855;877;845;987;900;1131;1037;1053;975;937;897;901;834;748;753;597;605;429;444;606;775;132;10;270;118
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;21911;6.1243;10861;2544;2276;2575;2522;2721;2788;3625;3794;3798;3987;3183;3129;2365;2118;1656;1402;1033;997;734;613;649;603;104;10;1070;261
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;20822;9.81038;6728;2431;2363;2681;2585;2810;2923;3663;3634;3352;3574;2947;2805;2308;2162;1720;1694;1348;1342;970;800;921;727;145;14;1120;232
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;13150;1.7904;21555;1067;1059;1497;1441;1543;1572;1960;1884;1911;1891;1838;1679;1497;1432;1303;1206;906;974;634;604;776;891;121;12;692;222
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;6628;3.626;5844;796;720;922;809;897;893;992;1048;1058;1068;949;892;831;758;616;566;435;449;340;331;356;341;39;5;342;127
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;12950;0.9933;41134;1692;1575;1413;1464;1508;1493;1706;1763;1849;1832;1792;1806;1729;1565;1226;1216;868;876;619;617;918;1164;138;10;516;223
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;14054;1.2187;35775;1722;1675;1615;1535;1513;1606;1852;1793;1878;2023;1897;1921;1847;1690;1386;1350;1012;1039;699;680;991;1250;152;13;564;145
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;9593;2.226;13302;1200;1085;1008;1033;996;1003;1250;1208;1246;1363;1338;1349;1300;1216;1055;986;633;729;515;523;915;1139;106;8;321;112
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;23647;3.6059;20781;2672;2448;2967;2815;3162;3042;4047;3813;3850;3829;3489;3420;2948;2761;2121;2037;1549;1668;1130;1087;1371;1716;182;16;971;395
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;29727;4.515;20122;3215;3069;3622;3619;3964;4060;4833;4938;4884;4748;4211;3858;3288;3089;2541;2468;1828;1828;1093;1097;1268;1393;227;17;1569;446
2016;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;22918;4.5029;16307;2375;2242;2890;2956;2975;3052;3266;3548;3524;3632;3246;3108;2732;2673;2183;2264;1712;1769;1251;1204;1393;1356;153;14;1091;392
